자치구,연도,범죄유형,구분,건수
용산구,2023,살인,검거,4
용산구,2023,강도,발생,3
용산구,2023,강도,검거,3
용산구,2023,강간·강제추행,발생,245
용산구,2023,강간·강제추행,검거,219
용산구,2023,절도,발생,978
용산구,2023,절도,검거,561
용산구,2023,폭력,발생,1792
용산구,2023,폭력,검거,1481
용산구,2024,소계,발생,3322
용산구,2024,소계,검거,2475
용산구,2024,살인,발생,10
용산구,2024,살인,검거,6
용산구,2024,강도,발생,4
용산구,2024,강도,검거,3
용산구,2024,강간·강제추행,발생,267
용산구,2024,강간·강제추행,검거,235
용산구,2024,절도,발생,1082
용산구,2024,절도,검거,589
용산구,2024,폭력,발생,1959
용산구,2024,폭력,검거,1642
성동구,2014,소계,발생,3582
성동구,2014,소계,검거,2048
성동구,2014,살인,발생,1
성동구,2014,살인,검거,1
성동구,2014,강도,발생,5
성동구,2014,강도,검거,6
성동구,2014,강간·강제추행,발생,141
성동구,2014,강간·강제추행,검거,103
성동구,2014,절도,발생,1753
성동구,2014,절도,검거,529
성동구,2014,폭력,발생,1682
성동구,2014,폭력,검거,1409
성동구,2015,소계,발생,3358
성동구,2015,소계,검거,2123
성동구,2015,살인,발생,4
성동구,2015,살인,검거,4
성동구,2015,강도,발생,9
성동구,2015,강도,검거,8
성동구,2015,강간·강제추행,발생,126
성동구,2015,강간·강제추행,검거,119
성동구,2015,절도,발생,1607
성동구,2015,절도,검거,597
성동구,2015,폭력,발생,1612
성동구,2015,폭력,검거,1395
성동구,2016,소계,발생,3026
성동구,2016,소계,검거,2392
성동구,2016,살인,발생,4
성동구,2016,살인,검거,5
성동구,2016,강도,발생,3
성동구,2016,강도,검거,5
성동구,2016,강간·강제추행,발생,104
성동구,2016,강간·강제추행,검거,78
성동구,2016,절도,발생,1296
성동구,2016,절도,검거,896
성동구,2016,폭력,발생,1619
성동구,2016,폭력,검거,1408
성동구,2017,소계,발생,2767
성동구,2017,소계,검거,2031
성동구,2017,살인,발생,1
성동구,2017,살인,검거,1
성동구,2017,강도,발생,3
성동구,2017,강도,검거,3
성동구,2017,강간·강제추행,발생,132
성동구,2017,강간·강제추행,검거,106
성동구,2017,절도,발생,1072
성동구,2017,절도,검거,543
성동구,2017,폭력,발생,1559
성동구,2017,폭력,검거,1378
성동구,2018,소계,발생,2457
성동구,2018,소계,검거,1787
성동구,2018,살인,발생,2
성동구,2018,살인,검거,2
성동구,2018,강도,발생,5
성동구,2018,강도,검거,8
성동구,2018,강간·강제추행,발생,126
성동구,2018,강간·강제추행,검거,102
성동구,2018,절도,발생,999
성동구,2018,절도,검거,487
성동구,2018,폭력,발생,1325
성동구,2018,폭력,검거,1188
성동구,2019,소계,발생,2512
성동구,2019,소계,검거,1838
성동구,2019,살인,발생,6
성동구,2019,살인,검거,5
성동구,2019,강도,발생,9
성동구,2019,강도,검거,10
성동구,2019,강간·강제추행,발생,133
성동구,2019,강간·강제추행,검거,96
성동구,2019,절도,발생,970
성동구,2019,절도,검거,511
성동구,2019,폭력,발생,1394
성동구,2019,폭력,검거,1216
성동구,2020,소계,발생,2362
성동구,2020,소계,검거,1774
성동구,2020,살인,발생,5
성동구,2020,살인,검거,5
성동구,2020,강도,발생,3
성동구,2020,강도,검거,3
성동구,2020,강간·강제추행,발생,115
성동구,2020,강간·강제추행,검거,98
성동구,2020,절도,발생,1016
성동구,2020,절도,검거,565
성동구,2020,폭력,발생,1223
성동구,2020,폭력,검거,1103
성동구,2021,소계,발생,2112
성동구,2021,소계,검거,1510
성동구,2021,살인,발생,3
성동구,2021,살인,검거,4
성동구,2021,강도,발생,4
성동구,2021,강도,검거,1
성동구,2021,강간·강제추행,발생,110
성동구,2021,강간·강제추행,검거,82
성동구,2021,절도,발생,905
성동구,2021,절도,검거,497
성동구,2021,폭력,발생,1090
성동구,2021,폭력,검거,926
성동구,2022,소계,발생,2194
성동구,2022,소계,검거,1597
성동구,2022,살인,발생,2
성동구,2022,살인,검거,2
성동구,2022,강도,발생,2
성동구,2022,강도,검거,2
성동구,2022,강간·강제추행,발생,125
성동구,2022,강간·강제추행,검거,97
성동구,2022,절도,발생,979
성동구,2022,절도,검거,538
성동구,2022,폭력,발생,1086
성동구,2022,폭력,검거,958
성동구,2023,소계,발생,2023
성동구,2023,소계,검거,1411
성동구,2023,살인,발생,2
성동구,2023,살인,검거,1
성동구,2023,강도,발생,2
성동구,2023,강도,검거,2
성동구,2023,강간·강제추행,발생,119
성동구,2023,강간·강제추행,검거,85
성동구,2023,절도,발생,893
성동구,2023,절도,검거,472
성동구,2023,폭력,발생,1007
성동구,2023,폭력,검거,851
성동구,2024,소계,발생,2117
성동구,2024,소계,검거,1510
성동구,2024,살인,발생,5
성동구,2024,살인,검거,6
성동구,2024,강도,발생,3
성동구,2024,강도,검거,3
성동구,2024,강간·강제추행,발생,114
성동구,2024,강간·강제추행,검거,90
성동구,2024,절도,발생,966
성동구,2024,절도,검거,544
성동구,2024,폭력,발생,1029
성동구,2024,폭력,검거,867
광진구,2014,소계,발생,6268
광진구,2014,소계,검거,3531
광진구,2014,살인,발생,8
광진구,2014,살인,검거,9
광진구,2014,강도,발생,16
광진구,2014,강도,검거,22
광진구,2014,강간·강제추행,발생,249
광진구,2014,강간·강제추행,검거,199
광진구,2014,절도,발생,3167
광진구,2014,절도,검거,1001
광진구,2014,폭력,발생,2828
광진구,2014,폭력,검거,2300
광진구,2015,소계,발생,5909
광진구,2015,소계,검거,3707
광진구,2015,살인,발생,4
광진구,2015,살인,검거,4
광진구,2015,강도,발생,14
광진구,2015,강도,검거,26
광진구,2015,강간·강제추행,발생,240
광진구,2015,강간·강제추행,검거,220
광진구,2015,절도,발생,3026
광진구,2015,절도,검거,1277
광진구,2015,폭력,발생,2625
광진구,2015,폭력,검거,2180
광진구,2016,소계,발생,5322
광진구,2016,소계,검거,3312
광진구,2016,살인,발생,4
광진구,2016,살인,검거,4
광진구,2016,강도,발생,11
광진구,2016,강도,검거,6
광진구,2016,강간·강제추행,발생,279
광진구,2016,강간·강제추행,검거,234
광진구,2016,절도,발생,2636
광진구,2016,절도,검거,1057
광진구,2016,폭력,발생,2392
광진구,2016,폭력,검거,2011
광진구,2017,소계,발생,4646
광진구,2017,소계,검거,3289
광진구,2017,살인,발생,6
광진구,2017,살인,검거,5
광진구,2017,강도,발생,13
광진구,2017,강도,검거,8
광진구,2017,강간·강제추행,발생,261
광진구,2017,강간·강제추행,검거,208
광진구,2017,절도,발생,2220
광진구,2017,절도,검거,1168
광진구,2017,폭력,발생,2146
광진구,2017,폭력,검거,1900
광진구,2018,소계,발생,3915
광진구,2018,소계,검거,2789
광진구,2018,살인,발생,7
광진구,2018,살인,검거,5
광진구,2018,강도,발생,2
광진구,2018,강도,검거,1
광진구,2018,강간·강제추행,발생,229
광진구,2018,강간·강제추행,검거,184
광진구,2018,절도,발생,1769
광진구,2018,절도,검거,974
광진구,2018,폭력,발생,1908
광진구,2018,폭력,검거,1625
광진구,2019,소계,발생,4011
광진구,2019,소계,검거,2816
광진구,2019,살인,발생,4
광진구,2019,살인,검거,5
광진구,2019,강도,발생,6
광진구,2019,강도,검거,5
광진구,2019,강간·강제추행,발생,273
광진구,2019,강간·강제추행,검거,213
광진구,2019,절도,발생,1875
광진구,2019,절도,검거,1008
광진구,2019,폭력,발생,1853
광진구,2019,폭력,검거,1585
광진구,2020,소계,발생,3601
광진구,2020,소계,검거,2511
광진구,2020,살인,발생,2
광진구,2020,살인,검거,2
광진구,2020,강도,발생,4
광진구,2020,강도,검거,4
광진구,2020,강간·강제추행,발생,255
광진구,2020,강간·강제추행,검거,224
광진구,2020,절도,발생,1664
광진구,2020,절도,검거,874
광진구,2020,폭력,발생,1676
광진구,2020,폭력,검거,1407
광진구,2021,소계,발생,3087
광진구,2021,소계,검거,2202
광진구,2021,살인,발생,5
광진구,2021,살인,검거,3
광진구,2021,강도,발생,4
광진구,2021,강도,검거,4
광진구,2021,강간·강제추행,발생,208
광진구,2021,강간·강제추행,검거,161
광진구,2021,절도,발생,1414
광진구,2021,절도,검거,754
광진구,2021,폭력,발생,1456
광진구,2021,폭력,검거,1280
광진구,2022,소계,발생,3619
광진구,2022,소계,검거,2498
광진구,2022,살인,발생,6
광진구,2022,살인,검거,5
광진구,2022,강도,발생,0
광진구,2022,강도,검거,0
광진구,2022,강간·강제추행,발생,230
광진구,2022,강간·강제추행,검거,174
광진구,2022,절도,발생,1670
광진구,2022,절도,검거,831
광진구,2022,폭력,발생,1713
광진구,2022,폭력,검거,1488
광진구,2023,소계,발생,3424
광진구,2023,소계,검거,2333
광진구,2023,살인,발생,2
광진구,2023,살인,검거,2
광진구,2023,강도,발생,5
광진구,2023,강도,검거,3
광진구,2023,강간·강제추행,발생,238
광진구,2023,강간·강제추행,검거,178
광진구,2023,절도,발생,1616
광진구,2023,절도,검거,830
광진구,2023,폭력,발생,1563
광진구,2023,폭력,검거,1320
광진구,2024,소계,발생,2870
광진구,2024,소계,검거,2219
광진구,2024,살인,발생,2
광진구,2024,살인,검거,2
광진구,2024,강도,발생,6
광진구,2024,강도,검거,7
광진구,2024,강간·강제추행,발생,235
광진구,2024,강간·강제추행,검거,183
광진구,2024,절도,발생,1320
광진구,2024,절도,검거,942
광진구,2024,폭력,발생,1307
광진구,2024,폭력,검거,1085
동대문구,2014,소계,발생,4363
동대문구,2014,소계,검거,2882
동대문구,2014,살인,발생,12
동대문구,2014,살인,검거,11
동대문구,2014,강도,발생,13
동대문구,2014,강도,검거,8
동대문구,2014,강간·강제추행,발생,141
동대문구,2014,강간·강제추행,검거,112
동대문구,2014,절도,발생,1809
동대문구,2014,절도,검거,676
동대문구,2014,폭력,발생,2388
동대문구,2014,폭력,검거,2075
동대문구,2015,소계,발생,4720
동대문구,2015,소계,검거,3205
동대문구,2015,살인,발생,5
동대문구,2015,살인,검거,5
동대문구,2015,강도,발생,13
동대문구,2015,강도,검거,13
동대문구,2015,강간·강제추행,발생,173
동대문구,2015,강간·강제추행,검거,146
동대문구,2015,절도,발생,1981
동대문구,2015,절도,검거,814
동대문구,2015,폭력,발생,2548
동대문구,2015,폭력,검거,2227
동대문구,2016,소계,발생,4787
동대문구,2016,소계,검거,3623
동대문구,2016,살인,발생,5
동대문구,2016,살인,검거,5
동대문구,2016,강도,발생,10
동대문구,2016,강도,검거,12
동대문구,2016,강간·강제추행,발생,190
동대문구,2016,강간·강제추행,검거,158
동대문구,2016,절도,발생,1940
동대문구,2016,절도,검거,1071
동대문구,2016,폭력,발생,2642
동대문구,2016,폭력,검거,2377
동대문구,2017,소계,발생,3975
동대문구,2017,소계,검거,3274
동대문구,2017,살인,발생,11
동대문구,2017,살인,검거,10
동대문구,2017,강도,발생,3
동대문구,2017,강도,검거,5
동대문구,2017,강간·강제추행,발생,165
동대문구,2017,강간·강제추행,검거,149
동대문구,2017,절도,발생,1547
동대문구,2017,절도,검거,1017
동대문구,2017,폭력,발생,2249
동대문구,2017,폭력,검거,2093
동대문구,2018,소계,발생,3680
동대문구,2018,소계,검거,2968
동대문구,2018,살인,발생,2
동대문구,2018,살인,검거,2
동대문구,2018,강도,발생,5
동대문구,2018,강도,검거,4
동대문구,2018,강간·강제추행,발생,145
동대문구,2018,강간·강제추행,검거,112
동대문구,2018,절도,발생,1447
동대문구,2018,절도,검거,930
동대문구,2018,폭력,발생,2081
동대문구,2018,폭력,검거,1920
동대문구,2019,소계,발생,3692
동대문구,2019,소계,검거,2818
동대문구,2019,살인,발생,6
동대문구,2019,살인,검거,6
동대문구,2019,강도,발생,10
동대문구,2019,강도,검거,9
동대문구,2019,강간·강제추행,발생,168
동대문구,2019,강간·강제추행,검거,143
동대문구,2019,절도,발생,1531
동대문구,2019,절도,검거,827
동대문구,2019,폭력,발생,1977
동대문구,2019,폭력,검거,1833
동대문구,2020,소계,발생,3401
동대문구,2020,소계,검거,2465
동대문구,2020,살인,발생,10
동대문구,2020,살인,검거,8
동대문구,2020,강도,발생,6
동대문구,2020,강도,검거,5
동대문구,2020,강간·강제추행,발생,161
동대문구,2020,강간·강제추행,검거,142
동대문구,2020,절도,발생,1440
동대문구,2020,절도,검거,713
동대문구,2020,폭력,발생,1784
동대문구,2020,폭력,검거,1597
동대문구,2021,소계,발생,2959
동대문구,2021,소계,검거,2113
동대문구,2021,살인,발생,3
동대문구,2021,살인,검거,4
동대문구,2021,강도,발생,7
동대문구,2021,강도,검거,8
동대문구,2021,강간·강제추행,발생,169
동대문구,2021,강간·강제추행,검거,147
동대문구,2021,절도,발생,1240
동대문구,2021,절도,검거,659
동대문구,2021,폭력,발생,1540
동대문구,2021,폭력,검거,1295
동대문구,2022,소계,발생,3253
동대문구,2022,소계,검거,2231
동대문구,2022,살인,발생,4
동대문구,2022,살인,검거,4
동대문구,2022,강도,발생,2
동대문구,2022,강도,검거,2
동대문구,2022,강간·강제추행,발생,125
동대문구,2022,강간·강제추행,검거,106
동대문구,2022,절도,발생,1556
동대문구,2022,절도,검거,823
동대문구,2022,폭력,발생,1566
동대문구,2022,폭력,검거,1296
동대문구,2023,소계,발생,2957
동대문구,2023,소계,검거,2301
동대문구,2023,살인,발생,5
동대문구,2023,살인,검거,6
동대문구,2023,강도,발생,4
동대문구,2023,강도,검거,3
동대문구,2023,강간·강제추행,발생,146
동대문구,2023,강간·강제추행,검거,116
동대문구,2023,절도,발생,1280
동대문구,2023,절도,검거,847
동대문구,2023,폭력,발생,1522
동대문구,2023,폭력,검거,1329
동대문구,2024,소계,발생,3216
동대문구,2024,소계,검거,2482
동대문구,2024,살인,발생,7
동대문구,2024,살인,검거,6
동대문구,2024,강도,발생,4
동대문구,2024,강도,검거,2
동대문구,2024,강간·강제추행,발생,125
동대문구,2024,강간·강제추행,검거,110
동대문구,2024,절도,발생,1617
동대문구,2024,절도,검거,1060
동대문구,2024,폭력,발생,1463
동대문구,2024,폭력,검거,1304
중랑구,2014,소계,발생,5353
중랑구,2014,소계,검거,3259
중랑구,2014,살인,발생,11
중랑구,2014,살인,검거,10
중랑구,2014,강도,발생,14
중랑구,2014,강도,검거,11
중랑구,2014,강간·강제추행,발생,163
중랑구,2014,강간·강제추행,검거,118
중랑구,2014,절도,발생,2390
중랑구,2014,절도,검거,823
중랑구,2014,폭력,발생,2775
중랑구,2014,폭력,검거,2297
중랑구,2015,소계,발생,5193
중랑구,2015,소계,검거,3405
중랑구,2015,살인,발생,13
중랑구,2015,살인,검거,12
중랑구,2015,강도,발생,11
중랑구,2015,강도,검거,9
중랑구,2015,강간·강제추행,발생,187
중랑구,2015,강간·강제추행,검거,148
중랑구,2015,절도,발생,2135
중랑구,2015,절도,검거,829
중랑구,2015,폭력,발생,2847
중랑구,2015,폭력,검거,2407
중랑구,2016,소계,발생,5041
중랑구,2016,소계,검거,3935
중랑구,2016,살인,발생,8
중랑구,2016,살인,검거,7
중랑구,2016,강도,발생,14
중랑구,2016,강도,검거,14
중랑구,2016,강간·강제추행,발생,164
중랑구,2016,강간·강제추행,검거,150
중랑구,2016,절도,발생,1691
중랑구,2016,절도,검거,1052
중랑구,2016,폭력,발생,3164
중랑구,2016,폭력,검거,2712
중랑구,2017,소계,발생,4571
중랑구,2017,소계,검거,3392
중랑구,2017,살인,발생,5
중랑구,2017,살인,검거,5
중랑구,2017,강도,발생,3
중랑구,2017,강도,검거,4
중랑구,2017,강간·강제추행,발생,172
중랑구,2017,강간·강제추행,검거,144
중랑구,2017,절도,발생,1533
중랑구,2017,절도,검거,813
중랑구,2017,폭력,발생,2858
중랑구,2017,폭력,검거,2426
중랑구,2018,소계,발생,4288
중랑구,2018,소계,검거,3222
중랑구,2018,살인,발생,4
중랑구,2018,살인,검거,5
